Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11870469,2020-06-22 16:09:06,2020-05-29 00:34:01,137073676,27402341480,137073676,199,10514,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870469/SRR11870469.lite.1,SRX8420176,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731702,SAMN13919430,simple,9606,Homo sapiens,GSM4284250,,,,,,,no,,,,,GEO,SRA1080983,,public,F460EE0B04259392D77564CF19FD5A17,77C47F8C221C666F7DA8F5D738699E5E
SRR11870470,2020-06-22 16:09:06,2020-05-28 22:53:53,51282697,10254442090,51282697,199,3910,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870470/SRR11870470.lite.1,SRX8420177,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731703,SAMN13919429,simple,9606,Homo sapiens,GSM4284251,,,,,,,no,,,,,GEO,SRA1080983,,public,DF3D2043433D63904E5C51ABCF7B6876,E3704093939995437921AE5EFFF77F33
SRR11870471,2020-06-22 16:09:06,2020-05-29 00:14:56,129092400,25811931630,129092400,199,9962,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870471/SRR11870471.lite.1,SRX8420178,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731704,SAMN13919428,simple,9606,Homo sapiens,GSM4284252,,,,,,,no,,,,,GEO,SRA1080983,,public,D21BE058A8749F5B5F72018C84737C79,7689E6FC41D987533148FCDD3FDD2DCA
SRR11870472,2020-06-22 16:09:06,2020-05-28 23:25:57,76464276,15279107990,76464276,199,6079,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870472/SRR11870472.lite.1,SRX8420179,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731705,SAMN13919424,simple,9606,Homo sapiens,GSM4284253,,,,,,,no,,,,,GEO,SRA1080983,,public,48574D37080A19459C5A90AF9B6355B0,16F74320188B6AC540D11BCFA7232E4A
SRR11870473,2020-06-22 16:09:06,2020-05-28 23:23:23,97743402,19543671626,97743402,199,7731,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11870/SRR11870473/SRR11870473.lite.1,SRX8420180,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731706,SAMN13919423,simple,9606,Homo sapiens,GSM4284254,,,,,,,no,,,,,GEO,SRA1080983,,public,C447B8466DB4FB16473E6E340B1A46F6,A4167A6C9AA0A9B2F912AE454214E8EE
SRR11870474,2020-06-22 16:09:06,2020-05-29 01:01:19,64985421,12993545158,64985421,199,5169,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870474/SRR11870474.lite.1,SRX8420181,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731707,SAMN13919422,simple,9606,Homo sapiens,GSM4284255,,,,,,,no,,,,,GEO,SRA1080983,,public,8076C8768F4998C5F5989F0CA6E35F26,464A809D5BD06DF0F3A9DECECB2D8952
SRR11870475,2020-06-22 16:09:06,2020-05-28 23:26:45,143974484,28776533762,143974484,199,11545,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870475/SRR11870475.lite.1,SRX8420182,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731709,SAMN13919421,simple,9606,Homo sapiens,GSM4284256,,,,,,,no,,,,,GEO,SRA1080983,,public,09BAC30C30701A0057B88BA09ED24123,71AEA10A58E0987E85A8EB3B408A9818
SRR11870476,2020-06-22 16:09:06,2020-05-28 23:19:19,79747700,15936092666,79747700,199,6286,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11870/SRR11870476/SRR11870476.lite.1,SRX8420183,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731708,SAMN13919420,simple,9606,Homo sapiens,GSM4284257,,,,,,,no,,,,,GEO,SRA1080983,,public,E23430E2F28C8BC3331BBCAF4FF7DB54,2E7DB8F91A27D529C031D1A52AFE7864
SRR11870477,2020-06-22 16:09:06,2020-05-28 23:35:07,127873941,25556217402,127873941,199,10017,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870477/SRR11870477.lite.1,SRX8420184,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731711,SAMN13919419,simple,9606,Homo sapiens,GSM4284258,,,,,,,no,,,,,GEO,SRA1080983,,public,26E9F91D026BA7B9C9819907CDEE2D8D,E70FC8E69C0D3F81295370533EC97E2F
SRR11870478,2020-06-22 16:09:06,2020-05-29 00:09:02,120802931,24152367972,120802931,199,9307,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11870/SRR11870478/SRR11870478.lite.1,SRX8420185,,OTHER,other,GENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP265179,PRJNA603106,3,603106,SRS6731710,SAMN13919418,simple,9606,Homo sapiens,GSM4284259,,,,,,,no,,,,,GEO,SRA1080983,,public,19EB9C6DCFD80762EDB9BB1A10D19205,E050435320C1E8A0D3895D1902B3B468
