Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11832836,2020-06-22 16:08:36,2024-09-13 07:46:40,264880967,25958334766,0,98,9373,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos11/sra-pub-zq-1140/SRR011/11832/SRR11832836/SRR11832836.lite.2,SRX8383286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697228,SAMN13919403,simple,9606,Homo sapiens,GSM4284223,,,,,,,no,,,,,GEO,SRA1031445,,public,8946A08E1B6F397D8AC3F6092F48393D,88E7184217EDBB7986C0815EA55E2C5B
SRR11832837,2020-06-22 16:08:36,2020-05-22 19:44:04,267338817,26199204066,0,98,8814,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832837.sralite.1,SRX8383287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697229,SAMN13919401,simple,9606,Homo sapiens,GSM4284224,,,,,,,no,,,,,GEO,SRA1031445,,public,2860057867F4A5E23AF10CD0CFFEC3B3,C7581BDA8497BDE48469046DBB8C63CC
SRR11832838,2020-06-22 16:08:36,2020-05-22 17:57:36,87539200,8578841600,0,98,3712,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832838.sralite.1,SRX8383288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697230,SAMN13919399,simple,9606,Homo sapiens,GSM4284225,,,,,,,no,,,,,GEO,SRA1031445,,public,232BD22D4A3CBCFCE598534E36CC096E,2B4BCBB88619F6D2D71C39F73094D6EB
SRR11832839,2020-06-22 16:08:36,2020-05-22 17:51:09,134547184,13185624032,0,98,5378,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832839.sralite.1,SRX8383289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697231,SAMN13919396,simple,9606,Homo sapiens,GSM4284226,,,,,,,no,,,,,GEO,SRA1031445,,public,B0B3DB92AA1353525BE3A8BDECC45F13,2E121E69F7A5774306A5BFB5D8F3E63D
SRR11832840,2020-06-22 16:08:36,2020-05-22 18:26:27,186110698,18238848404,0,98,7916,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832840.sralite.1,SRX8383290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697232,SAMN13919395,simple,9606,Homo sapiens,GSM4284227,,,,,,,no,,,,,GEO,SRA1031445,,public,B8C5E60A9C6B757073AD690788A49B08,F5D6C55158B085341E4E2D9BDD945052
SRR11832841,2020-06-22 16:08:36,2020-05-22 19:20:28,322651999,31619895902,0,98,13493,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832841.sralite.1,SRX8383291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697233,SAMN13919394,simple,9606,Homo sapiens,GSM4284228,,,,,,,no,,,,,GEO,SRA1031445,,public,24323625F6C5AD9190051478AC98A492,F11DFC61F4E0A6C7FDC609E77169AE98
SRR11832842,2020-06-22 16:08:36,2020-05-22 17:38:02,41789122,4095333956,0,98,1569,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832842.sralite.1,SRX8383292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697234,SAMN13919393,simple,9606,Homo sapiens,GSM4284229,,,,,,,no,,,,,GEO,SRA1031445,,public,8690C050225B8FAB36EE2D08B78C056B,AC2409884E24061963997CB90826D986
SRR11832843,2020-06-22 16:08:36,2020-05-22 17:40:11,43011310,4215108380,0,98,1846,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832843.sralite.1,SRX8383293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697235,SAMN13919392,simple,9606,Homo sapiens,GSM4284230,,,,,,,no,,,,,GEO,SRA1031445,,public,E441E14170C4EA6A07ECCEFC55E950BB,398B0741FC77EC1D7AA38E83CB596F74
SRR11832844,2020-06-22 16:08:36,2020-05-22 17:37:49,33590418,3291860964,0,98,1462,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832844.sralite.1,SRX8383294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697236,SAMN13919391,simple,9606,Homo sapiens,GSM4284231,,,,,,,no,,,,,GEO,SRA1031445,,public,B2B1C0E53D952FCA45E0FD33FC41C054,F7A570371126E5034D2C10AF425C0FD6
SRR11832845,2020-06-22 16:08:36,2020-05-22 19:39:34,296211515,29028728470,0,98,14412,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832845.sralite.1,SRX8383295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697237,SAMN13919390,simple,9606,Homo sapiens,GSM4284232,,,,,,,no,,,,,GEO,SRA1031445,,public,801CA2A5FE6EC02E9B480BC40A90D3F7,93B6FD70FBAE41D2B55E50A5311D2CDB
SRR11832846,2020-06-22 16:08:36,2020-05-22 18:50:37,269762021,26436678058,0,98,11719,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832846.sralite.1,SRX8383296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697238,SAMN13919389,simple,9606,Homo sapiens,GSM4284233,,,,,,,no,,,,,GEO,SRA1031445,,public,214482BCFD921EF36579279BC8D37F1F,2DBBB719C3A4505FA652EBB7D417DAD5
SRR11832847,2020-06-22 16:08:36,2020-05-22 20:12:19,313827048,30755050704,0,98,11670,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832847.sralite.1,SRX8383297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697239,SAMN13919388,simple,9606,Homo sapiens,GSM4284234,,,,,,,no,,,,,GEO,SRA1031445,,public,53B6CA09CE4C8C32480B6CB71C35C649,9CB9B53E69D15F9163BFC7FED742B797
SRR11832848,2020-06-22 16:08:36,2020-05-22 18:56:48,295821514,28990508372,0,98,10996,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832848.sralite.1,SRX8383298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697240,SAMN13919387,simple,9606,Homo sapiens,GSM4284235,,,,,,,no,,,,,GEO,SRA1031445,,public,284FA1F1D83BDB0C8FE4604A465DCE51,5F9F963BDDC5A8717A0046FCCCD06554
SRR11832849,2020-06-22 16:08:36,2020-05-22 20:42:45,364754252,35745916696,0,98,14307,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11832/SRR11832849/SRR11832849.lite.1,SRX8383299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697241,SAMN13919386,simple,9606,Homo sapiens,GSM4284236,,,,,,,no,,,,,GEO,SRA1031445,,public,5A3425D5CE4F13677B8B87B6AE17BD12,BADB803D696591125F9FCD84E50AC53D
SRR11832850,2020-06-22 16:08:36,2020-05-22 19:32:35,323358655,31689148190,0,98,12868,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832850.sralite.1,SRX8383300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697242,SAMN13919385,simple,9606,Homo sapiens,GSM4284237,,,,,,,no,,,,,GEO,SRA1031445,,public,DD3A68C3A861EC2C88261E155DD1D549,5E33C2B914B3AB86D80EAD3442A80A93
SRR11832851,2020-06-22 16:08:36,2020-05-22 19:00:39,249914469,24491617962,0,98,11176,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832851.sralite.1,SRX8383301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697243,SAMN13919384,simple,9606,Homo sapiens,GSM4284238,,,,,,,no,,,,,GEO,SRA1031445,,public,C8AA28A5735A7E5820AC67A057BD4682,19897B10DE3C7EE18836EACF6A05A2E7
SRR11832852,2020-06-22 16:08:36,2020-05-22 18:22:20,164511814,16122157772,0,98,6874,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832852.sralite.1,SRX8383302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697244,SAMN13919383,simple,9606,Homo sapiens,GSM4284239,,,,,,,no,,,,,GEO,SRA1031445,,public,43146F0912B3AE523B31DDB7372D170A,FD531F6107488786758E96F5047CA9C6
SRR11832853,2020-06-22 16:08:36,2020-05-22 18:39:12,190314258,18650797284,0,98,8409,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832853.sralite.1,SRX8383303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697245,SAMN13919382,simple,9606,Homo sapiens,GSM4284240,,,,,,,no,,,,,GEO,SRA1031445,,public,CBB7059104C30C2910C71408301D8DB7,07CD695C9E599580EB2C521D8F79A025
SRR11832854,2020-06-22 16:08:36,2020-05-22 17:43:23,40177979,3937441942,0,98,1602,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832854.sralite.1,SRX8383304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697246,SAMN13919381,simple,9606,Homo sapiens,GSM4284241,,,,,,,no,,,,,GEO,SRA1031445,,public,3670ED7F7D143A6720D1058E3905D51C,BD87292017383576F55CEAD488B9ED70
SRR11832855,2020-06-22 16:08:36,2020-05-22 18:28:55,88564128,8679284544,0,98,3650,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832855.sralite.1,SRX8383305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697247,SAMN13919380,simple,9606,Homo sapiens,GSM4284242,,,,,,,no,,,,,GEO,SRA1031445,,public,A766EAC42CC2601FF5DBBC9F340553EF,71D4B65DB16DC4E8255FC4804258EA9A
SRR11832856,2020-06-22 16:08:36,2020-05-22 19:01:43,249110016,24412781568,0,98,10819,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832856.sralite.1,SRX8383306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697248,SAMN13919379,simple,9606,Homo sapiens,GSM4284243,,,,,,,no,,,,,GEO,SRA1031445,,public,F10D1353D346ED8DBC4B8B1E46849B14,418A27ECDB5CE7BA7C39E7B16947F3B7
SRR11832857,2020-06-22 16:08:36,2020-05-22 19:26:25,329386292,32279856616,0,98,13102,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832857.sralite.1,SRX8383307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697249,SAMN13919378,simple,9606,Homo sapiens,GSM4284244,,,,,,,no,,,,,GEO,SRA1031445,,public,EF9A7F2908A286F9A3738FC21576DE56,E8A48C78AC6B4A9814948D4FC92E0D9D
SRR11832858,2020-06-22 16:08:36,2020-05-22 20:14:53,364946111,35764718878,0,98,14613,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832858.sralite.1,SRX8383308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697250,SAMN13919377,simple,9606,Homo sapiens,GSM4284245,,,,,,,no,,,,,GEO,SRA1031445,,public,FAABB00A0FA68E14EBB22F5D84F8D610,B1A381B5FA12179A0427C5A66EB53732
SRR11832859,2020-06-22 16:08:36,2020-05-22 19:27:44,250775048,24575954704,0,98,11690,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/832/SRR11832859.sralite.1,SRX8383309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697251,SAMN13919434,simple,9606,Homo sapiens,GSM4284246,,,,,,,no,,,,,GEO,SRA1031445,,public,CA23CFF33716D43DFC634E0F803A6277,95304745E31974C8BFBF755F2E7A9DC2
SRR11832860,2020-06-22 16:08:36,2020-05-22 19:26:47,267072494,26173104412,0,98,12749,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/832/SRR11832860.sralite.1,SRX8383310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6697252,SAMN13919433,simple,9606,Homo sapiens,GSM4284247,,,,,,,no,,,,,GEO,SRA1031445,,public,559A7368C0A1D6086BE84ACF0B753295,7F1FD877A2A7691BC121174A15E6B67A
SRR10963011,2020-06-22 16:08:36,2020-01-27 18:17:14,314501366,30821133868,0,98,15752,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/963/SRR10963011.sralite.1,SRX7628649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6060256,SAMN13919432,simple,9606,Homo sapiens,GSM4284248,,,,,,,no,,,,,GEO,SRA1031445,,public,CBF2C812A6B6513063174CCB365F958D,A7A9F792D5048D50E71132DCAC35562B
SRR10963012,2020-06-22 16:08:36,2020-01-27 18:35:09,301316143,29528982014,0,98,14871,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/963/SRR10963012.sralite.1,SRX7628650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6060257,SAMN13919431,simple,9606,Homo sapiens,GSM4284249,,,,,,,no,,,,,GEO,SRA1031445,,public,7589091FDCFCCD4B495C3A005EAEDFA3,C50DEA77C0594523F32E067161B31DB7
SRR11830881,2020-06-22 16:08:36,2020-05-27 12:58:31,108389669,10622187562,0,98,4992,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/830/SRR11830881.sralite.1,SRX8381396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6695588,SAMN14998217,simple,10090,Mus musculus,GSM4565520,,,,,,,no,,,,,GEO,SRA1031445,,public,B8D84261BE9CDCEF889F14702FD05FDE,2BC2DEA5058D899E83944922E3E3EEA1
SRR11830882,2020-06-22 16:08:36,2020-05-22 14:26:44,304417075,27701953825,0,91,13930,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/830/SRR11830882.sralite.1,SRX8381397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP244706,PRJNA603103,3,603103,SRS6695589,SAMN14998216,simple,9606,Homo sapiens,GSM4565521,,,,,,,no,,,,,GEO,SRA1031445,,public,87C3E065FD9660210B7FD2501E86EE1A,2FC0F2A1AD2B289AA19E7E02EB9465C5
